,Word,Lemma,POS,Case,Number,Person,Tense,Mood,Voice,Form-Lemma Difference,Subtokens,Subtoken IDs,Subtoken Start Index,Subtoken End Index,Target Class,BERT Subtokenized Sentence,Sentence
3430,nationalists,nationalist,NOUN,,Plur,,,,,1,['nationalists'],[17934],10,10,Plural Noun,"the thing to keep in mind is that sunni arab nationalists and ba ##athi ##sts and local sunni radicals are likely to remain far more dangerous to the us in iraq than al - qaeda in ##fi ##lt ##rator ##s , and it would be dangerous to take one ' s eyes off the former ball .","The thing to keep in mind is that Sunni Arab nationalists and Baathists and local Sunni radicals are likely to remain far more dangerous to the US in Iraq than al - Qaeda infiltrators , and it would be dangerous to take one 's eyes off the former ball ."
3880,lacks,lack,VERB,,Sing,3,Pres,,,1,['lacks'],[14087],9,9,Third-Person Present Tense Verb,george w . bush alleged thursday that john edwards lacks the experience necessary to be president .,George W. Bush alleged Thursday that John Edwards lacks the experience necessary to be president .
3944,hoists,hoist,VERB,,Sing,3,Pres,,,1,"['ho', '##ists']","[7570, 5130]",28,29,Third-Person Present Tense Verb,"the problem with this argument is that bush lacked the experience necessary to be president when he ran in 2000 , so this sort of cheap shot just ho ##ists him by his own pet ##ard .","The problem with this argument is that Bush lacked the experience necessary to be president when he ran in 2000 , so this sort of cheap shot just hoists him by his own petard ."
4224,fails,fail,VERB,,Sing,3,Pres,,,1,['fails'],[11896],2,2,Third-Person Present Tense Verb,' bush fails reporter ' s pop quiz on international leaders,' Bush fails reporter 's pop quiz on international leaders
4234,for,for,ADP,,,,,,,0,['for'],[2005],11,11,Causal-Final Case,"texas gov . george w . bush is enduring sharp criticism for being unable to name the leaders of four current world hot spots , but president bill clinton says bush "" should , and probably will , pick up "" those names .","Texas Gov. George W. Bush is enduring sharp criticism for being unable to name the leaders of four current world hot spots , but President Bill Clinton says Bush "" should , and probably will , pick up "" those names ."
4528,appears,appear,VERB,,Sing,3,Pres,,,1,['appears'],[3544],1,1,Third-Person Present Tense Verb,"it appears this guy is going to bring stability to the country and i think that ' s good news for the subcontinent . ""","It appears this guy is going to bring stability to the country and I think that 's good news for the subcontinent . """
4672,seems,seem,VERB,,Sing,3,Pres,,,1,['seems'],[3849],17,17,Third-Person Present Tense Verb,"not only did bush not know who general per ##vez mu ##sha ##rra ##f was , he seems to have confused coup - making with "" taking office , "" and moreover went on to suggest that the overthrow of an elected prime minister and the installation in power of the pakistan military , then the world ' s strongest supporter of the taliban , would bring "" stability ! ""","Not only did Bush not know who General Pervez Musharraf was , he seems to have confused coup - making with "" taking office , "" and moreover went on to suggest that the overthrow of an elected prime minister and the installation in power of the Pakistan military , then the world 's strongest supporter of the Taliban , would bring "" stability ! """
5332,'s,'s,PART,,,,,,,0,"[""'"", 's']","[1005, 1055]",6,7,Genitive Case,"so , one answer to bush ' s charge about edwards is that if it had any merit , bush should have declined to run himself .","So , one answer to Bush 's charge about Edwards is that if it had any merit , Bush should have declined to run himself ."
5514,knows,know,VERB,,Sing,3,Pres,,,1,['knows'],[4282],6,6,Third-Person Present Tense Verb,another answer is that edwards certainly knows far more about foreign affairs now than bush did then .,Another answer is that Edwards certainly knows far more about foreign affairs now than Bush did then .
5586,allies,ally,NOUN,,Plur,,,,,2,['allies'],[6956],13,13,Plural Noun,"indeed , given how bush has rampage ##d around the world alien ##ating allies and ignoring vital conflicts with the potential to blow back on the us , one might well argue that edwards knows more now than bush does .","Indeed , given how Bush has rampaged around the world alienating allies and ignoring vital conflicts with the potential to blow back on the US , one might well argue that Edwards knows more now than Bush does ."
5937,positions,position,NOUN,,Plur,,,,,1,['positions'],[4460],10,10,Plural Noun,"this is what edwards ' campaign literature said about his positions : "" edwards believes that the u . s . must be an active leader to help resolve conflicts , from reducing tensions between india and pakistan to the peace process in northern ireland .","This is what Edwards ' campaign literature said about his positions : "" Edwards believes that the U.S. must be an active leader to help resolve conflicts , from reducing tensions between India and Pakistan to the peace process in Northern Ireland ."
6367,believes,believe,VERB,,Sing,3,Pres,,,1,['believes'],[7164],9,9,Third-Person Present Tense Verb,"edwards is a strong supporter of israel , and believes that the u . s . has a vital role in promoting peace between the israelis and the palestinians . ""","Edwards is a strong supporter of Israel , and believes that the U.S. has a vital role in promoting peace between the Israelis and the Palestinians . """
6507,faces,face,VERB,,Sing,3,Pres,,,1,['faces'],[5344],4,4,Third-Person Present Tense Verb,the biggest threat israel faces is not from conventional armies but from the as ##ym ##metric ##al tactics of palestinian national liberation movements .,The biggest threat Israel faces is not from conventional armies but from the asymmetrical tactics of Palestinian national liberation movements .
6591,for,for,ADP,,,,,,,0,['for'],[2005],1,1,Causal-Final Case,"worse for israel , the assassination drew a den ##unciation even from the moderate and cautious grand a ##yat ##oll ##ah ali sis ##tani , who wi ##eld ##s enormous moral authority over iraqi shi ##ites .","Worse for Israel , the assassination drew a denunciation even from the moderate and cautious Grand Ayatollah Ali Sistani , who wields enormous moral authority over Iraqi Shiites ."
6736,coreligionists,coreligionist,NOUN,,Plur,,,,,1,"['core', '##li', '##gio', '##nist', '##s']","[4563, 3669, 11411, 26942, 2015]",16,20,Plural Noun,"it is inevitable that most iraqi shi ##ites will side with their hi ##z ##bu ##llah core ##li ##gio ##nist ##s against israel , and it seems likely that iraqi shi ##ites will get rich enough from iraqi petroleum sales in the future that they will be in a good position to bank ##roll lebanese shi ##ite radicals .","It is inevitable that most Iraqi Shiites will side with their Hizbullah coreligionists against Israel , and it seems likely that Iraqi Shiites will get rich enough from Iraqi petroleum sales in the future that they will be in a good position to bankroll Lebanese Shiite radicals ."
7216,publishes,publish,VERB,,Sing,3,Pres,,,2,['publishes'],[12466],3,3,Third-Person Present Tense Verb,the daily star publishes this commentary in agreement with age ##nce global,THE DAILY STAR publishes this commentary in agreement with Agence Global
7238,explains,explain,VERB,,Sing,3,Pres,,,1,['explains'],[7607],2,2,Third-Person Present Tense Verb,and that explains the delay in the signing of a formal defense agreement that was at the heart of sri lankan president chan ##drik ##a kumar ##at ##ung ##a ' s four - day visit to india recently .,And that explains the delay in the signing of a formal defense agreement that was at the heart of Sri Lankan President Chandrika Kumaratunga 's four - day visit to India recently .
7403,seems,seem,VERB,,Sing,3,Pres,,,1,['seems'],[3849],4,4,Third-Person Present Tense Verb,"colombo , too , seems to be in an intra ##ctable position .","Colombo , too , seems to be in an intractable position ."
7427,chairs,chair,VERB,,Sing,3,Pres,,,1,['chairs'],[8397],6,6,Third-Person Present Tense Verb,"ka ##lka ##t , who currently chairs the independent us - based international council on conflict resolution , said despite the failure of the indian army to di ##sar ##m or even sub ##due the tigers , india remained the only power capable of influencing the course of the current peace talks .","Kalkat , who currently chairs the independent US - based International Council on Conflict Resolution , said despite the failure of the Indian army to disarm or even subdue the Tigers , India remained the only power capable of influencing the course of the current peace talks ."
7811,resolutions,resolution,NOUN,,Plur,,,,,1,['resolutions'],[18853],34,34,Plural Noun,"the tigers ' chief id ##eo ##logue , bala ##sing ##ham , sniffed at the proposal saying that "" a solution to the ethnic conflict can not be pre ##de ##ter ##mined by the resolutions or declaration ##s of donor conferences , but has to be negotiated by the parties in conflict without the constraints of external forces . ""","The Tigers ' chief ideologue , Balasingham , sniffed at the proposal saying that "" a solution to the ethnic conflict can not be predetermined by the resolutions or declarations of donor conferences , but has to be negotiated by the parties in conflict without the constraints of external forces . """
8539,circumstances,circumstance,NOUN,,Plur,,,,,1,['circumstances'],[6214],10,10,Plural Noun,"the best option , now , under the present difficult circumstances is for colombo to do its own dirty work , although new delhi can always be counted on to render good neighbor ##ly help because of the shared belief that religion , ethnicity and language can not be the basis for secession .","The best option , now , under the present difficult circumstances is for Colombo to do its own dirty work , although New Delhi can always be counted on to render good neighborly help because of the shared belief that religion , ethnicity and language can not be the basis for secession ."
9016,puts,put,VERB,,Sing,3,Pres,,,1,['puts'],[8509],7,7,Third-Person Present Tense Verb,"in any case , ka ##lka ##t puts it su ##cci ##nc ##tly : "" there can not be a military option to what is a political situation . ""","In any case , Kalkat puts it succinctly : "" There can not be a military option to what is a political situation . """
9116,Musharraf,Musharraf,NOUN,,Plur,,,,,0,"['mu', '##sha', '##rra', '##f']","[14163, 7377, 11335, 2546]",0,3,Plural Noun,mu ##sha ##rra ##f calls the bluff,Musharraf calls the bluff
9120,for,for,ADP,,,,,,,0,['for'],[2005],12,12,Causal-Final Case,the reality is that india is no longer the enemy of choice for the people of pakistan .,The reality is that India is no longer the enemy of choice for the people of Pakistan .
9174,Realists,realist,NOUN,,Plur,,,,,1,"['real', '##ists']","[2613, 5130]",0,1,Plural Noun,"real ##ists , and this even includes members of the u . s . democratic foreign policy establishment such as st ##ro ##be talbot ##t , who have long sought to dive ##st india of its defensive capability against another nuclear power in asia , understand the only feasible solution for kashmir is the acceptance of the status quo .","Realists , and this even includes members of the U.S. Democratic foreign policy establishment such as Strobe Talbott , who have long sought to divest India of its defensive capability against another nuclear power in Asia , understand the only feasible solution for Kashmir is the acceptance of the status quo ."
9590,keeps,keep,VERB,,Sing,3,Pres,,,1,['keeps'],[7906],1,1,Third-Person Present Tense Verb,india keeps what it has while pakistan and china ( which was gifted a slice of the territory three decades ago ) do likewise .,India keeps what it has while Pakistan and China ( which was gifted a slice of the territory three decades ago ) do likewise .
9715,appears,appear,VERB,,Sing,3,Pres,,,1,['appears'],[3544],19,19,Third-Person Present Tense Verb,"bill clinton understood this at the end of his term in office yet , under colin powell ( who appears to have an affinity for generals active in politics ) , the pendulum of u . s . policy has once again swung toward a qui ##x ##otic effort to prize at least the valley of kashmir loose from india .","Bill Clinton understood this at the end of his term in office yet , under Colin Powell ( who appears to have an affinity for generals active in politics ) , the pendulum of U.S. policy has once again swung toward a quixotic effort to prize at least the Valley of Kashmir loose from India ."
10163,supports,support,VERB,,Sing,3,Pres,,,1,['supports'],[6753],9,9,Third-Person Present Tense Verb,"despite sept . 11 , the united states still supports the kashmir groups that back jihad as part of the price washington is paying to keep per ##vez mu ##sha ##rra ##f happy .","Despite Sept. 11 , the United States still supports the Kashmir groups that back jihad as part of the price Washington is paying to keep Pervez Musharraf happy ."
10366,wrinkles,wrinkle,NOUN,,Plur,,,,,1,"['wr', '##inkles']","[23277, 28562]",2,3,Plural Noun,"despite many wr ##inkles , india remains a part - democracy and merely signing on to a piece of paper that calls for an independent kashmir does not get you into the trouble that writing an op - ed piece against sonia gandhi or ata ##l be ##hari va ##j ##pa ##ye ##e would instantly .","Despite many wrinkles , India remains a part - democracy and merely signing on to a piece of paper that calls for an independent Kashmir does not get you into the trouble that writing an op - ed piece against Sonia Gandhi or Atal Behari Vajpayee would instantly ."
10660,for,for,ADP,,,,,,,0,['for'],[2005],2,2,Causal-Final Case,"the reason for this is that india is emerging as an alternative investment destination to china , hence the favor that the generals in islamabad do to their trust ##y supplier of nu ##kes and missiles by creating a scare about war involving india when in fact the real flash ##points are the taiwan straits and north korea .","The reason for this is that India is emerging as an alternative investment destination to China , hence the favor that the generals in Islamabad do to their trusty supplier of nukes and missiles by creating a scare about war involving India when in fact the real flashpoints are the Taiwan Straits and North Korea ."
11164,shows,show,VERB,,Sing,3,Pres,,,1,['shows'],[3065],7,7,Third-Person Present Tense Verb,"once the man ##mo ##han singh government shows that it has little appetite for suicide , mu ##sha ##rra ##f will face the moment of truth : accept the inevitable , or once again ramp up the insurgency and spawn a fresh lot of killers that can hit not merely mumbai and new delhi but london and chicago as well .","Once the Manmohan Singh government shows that it has little appetite for suicide , Musharraf will face the moment of truth : accept the inevitable , or once again ramp up the insurgency and spawn a fresh lot of killers that can hit not merely Mumbai and New Delhi but London and Chicago as well ."
11556,understands,understand,VERB,,Sing,3,Pres,,,1,['understands'],[19821],8,8,Third-Person Present Tense Verb,the one country that has shown that it understands the realities in south asia is china .,The one country that has shown that it understands the realities in South Asia is China .
11624,has,have,VERB,,Sing,3,Pres,Ind,,-1,['has'],[2038],10,10,Third-Person Present Tense Verb,"with colin powell around , the u . s . has no need of an os ##ama bin laden","With Colin Powell around , the U.S. has no need of an Osama bin Laden"
11654,pilots,pilot,NOUN,,Plur,,,,,1,['pilots'],[8221],12,12,Plural Noun,"“ in 1972 , there was an enormous g ##lu ##t of pilots , ” camp ##en ##ni says .","“ In 1972 , there was an enormous glut of pilots , ” Campenni says ."
11686,stands,stand,VERB,,Sing,3,Pres,,,1,['stands'],[4832],7,7,Third-Person Present Tense Verb,a 1970 evaluation said bush “ clearly stands out as a top notch fighter interceptor pilot ” and was “ a natural leader whom his contemporaries look to for leadership . ”,A 1970 evaluation said Bush “ clearly stands out as a top notch fighter interceptor pilot ” and was “ a natural leader whom his contemporaries look to for leadership . ”
11878,flies,fly,VERB,,Sing,3,Pres,,,2,['flies'],[10029],17,17,Third-Person Present Tense Verb,a 1971 evaluation called bush “ an exceptionally fine young officer and pilot ” who “ continually flies intercept missions with the unit to increase his proficiency even further . ”,A 1971 evaluation called Bush “ an exceptionally fine young officer and pilot ” who “ continually flies intercept missions with the unit to increase his proficiency even further . ”
12033,’s,’,VERB,,Sing,3,Pres,,,1,"['’', 's']","[1521, 1055]",9,10,Third-Person Present Tense Verb,"and , as it is with kerry , it ’ s reasonable to look at a candidate ’ s entire record , including his military service — or lack of it .","And , as it is with Kerry , it ’s reasonable to look at a candidate ’s entire record , including his military service — or lack of it ."
12213,blames,blame,VERB,,Sing,3,Pres,,,1,"['blame', '##s']","[7499, 2015]",3,4,Third-Person Present Tense Verb,"the kerry camp blame ##s bush for the swift boat veterans ’ attack , but anyone who has spent much time talking to the swift ##ies gets the sense that they are doing it entirely for their own reasons .","The Kerry camp blames Bush for the Swift boat veterans ’ attack , but anyone who has spent much time talking to the Swifties gets the sense that they are doing it entirely for their own reasons ."
12555,veterans,veteran,NOUN,,Plur,,,,,1,['veterans'],[8244],7,7,Plural Noun,"in april — before the swift boat veterans had said a word — kerry said bush “ has yet to explain to america whether or not , and tell the truth , about whether he showed up for duty . ”","In April — before the Swift boat veterans had said a word — Kerry said Bush “ has yet to explain to America whether or not , and tell the truth , about whether he showed up for duty . ”"
12842,appears,appear,VERB,,Sing,3,Pres,,,1,['appears'],[3544],2,2,Third-Person Present Tense Verb,his column appears in the hill each week .,His column appears in The Hill each week .
12851,is,be,VERB,,Sing,3,Pres,Ind,,0,['is'],[2003],1,1,Third-Person Present Tense Verb,"there is no doubt that many iraqi ##s regard the date of 30 january as a day of renewed hope , one they have been awaiting all their lives , but at the same time , many others are already dread ##ing it .","There is no doubt that many Iraqis regard the date of 30 January as a day of renewed hope , one they have been awaiting all their lives , but at the same time , many others are already dreading it ."
13229,gifts,gift,NOUN,,Plur,,,,,1,['gifts'],[9604],8,8,Plural Noun,"one minister reportedly handed out 100 dollar ' gifts ' to journalists attending a press conference for alla ##wi , a practice that brings back bad memories to many iraqi ##s .","One minister reportedly handed out 100 dollar ' gifts ' to journalists attending a press conference for Allawi , a practice that brings back bad memories to many Iraqis ."
13349,is,be,VERB,,Sing,3,Pres,Ind,,0,['is'],[2003],2,2,Third-Person Present Tense Verb,"again there is no official written statement from sis ##tani ' s office confirming this all ##ega ##tion , which i think is intentional .","Again there is no official written statement from Sistani 's office confirming this allegation , which I think is intentional ."
13496,for,for,ADP,,,,,,,0,['for'],[2005],22,22,Causal-Final Case,"cha ##lab ##i describing sha ' lan as a "" ba ' at ##his ##t "" and a "" former double agent for saddam and the cia "" , while sha ' lan dismiss ##es cha ##lab ##i as a "" thief "" and an "" iranian st ##oo ##ge who long ##s for his own origins by defending iran "" .","Chalabi describing Sha'lan as a "" Ba'athist "" and a "" former double agent for Saddam and the CIA "" , while Sha'lan dismisses Chalabi as a "" thief "" and an "" Iranian stooge who longs for his own origins by defending Iran "" ."
13726,has,have,VERB,,Sing,3,Pres,Ind,,-1,['has'],[2038],33,33,Third-Person Present Tense Verb,"ha ##zi ##m al - sha ' lan , by the way , is the son of the late sheikh of al - k ##ha ##za ' il in di ##wani ##ya and has the potential to replace former information minister , m . s . al - sa ##ha ##f , in his non ##sen ##sic ##al media statements , which can be passed as jokes .","Hazim Al - Sha'lan , by the way , is the son of the late Sheikh of Al - Khaza'il in Diwaniya and has the potential to replace former information minister , M.S. Al - Sahaf , in his nonsensical media statements , which can be passed as jokes ."
14126,has,have,VERB,,Sing,3,Pres,Ind,,-1,['has'],[2038],3,3,Third-Person Present Tense Verb,the communist party has the largest number of registered party members in the country and can be considered as the oldest popular political party in iraq .,The Communist party has the largest number of registered party members in the country and can be considered as the oldest popular political party in Iraq .
14207,seems,seem,VERB,,Sing,3,Pres,,,1,['seems'],[3849],9,9,Third-Person Present Tense Verb,its support base is much larger than what it seems .,Its support base is much larger than what it seems .
14240,views,view,VERB,,Sing,3,Pres,,,1,['views'],[5328],6,6,Third-Person Present Tense Verb,"leaving aside the fact that this views conflicts with other historical examples in the region , sunni ##s have never offered an alternative choice , which eventually leads one to guess that the opinion held by the fall ##uj ##an taxi driver above is precisely what they are planning to implement .","Leaving aside the fact that this views conflicts with other historical examples in the region , Sunnis have never offered an alternative choice , which eventually leads one to guess that the opinion held by the Fallujan taxi driver above is precisely what they are planning to implement ."
14877,concur,concur,VERB,,Sing,3,Pres,,,0,"['con', '##cu', '##r']","[9530, 10841, 2099]",1,3,Third-Person Present Tense Verb,"i con ##cu ##r that ba ' at ##his ##ts and former security forces are capable of immediately controlling at least 5 out of 18 governorate ##s , along with the capital , if americans are to be removed from the picture entirely .","I concur that Ba'athists and former security forces are capable of immediately controlling at least 5 out of 18 governorates , along with the capital , if Americans are to be removed from the picture entirely ."
15136,assumes,assume,VERB,,Sing,3,Pres,,,1,['assumes'],[15980],3,3,Third-Person Present Tense Verb,"any government that assumes power after the elections also realises this , so not even sis ##tani is going to call the us to withdraw its troops , despite what he is saying now , not until they are ensured the insurgency is out of the picture , or that they have an alternative foreign power ( in this case iran ) to back them up .","Any government that assumes power after the elections also realises this , so not even Sistani is going to call the US to withdraw its troops , despite what he is saying now , not until they are ensured the insurgency is out of the picture , or that they have an alternative foreign power ( in this case Iran ) to back them up ."
16126,elections,election,NOUN,,Plur,,,,,1,['elections'],[3864],9,9,Plural Noun,"the only hope now is that , following the elections , the national assembly would offer the hand of peace and reconciliation to the dissent ##ing parties .","The only hope now is that , following the elections , the National Assembly would offer the hand of peace and reconciliation to the dissenting parties ."
16288,for,for,ADP,,,,,,,0,['for'],[2005],5,5,Causal-Final Case,both have shared this country for the last 14 centuries and there is no possible way that one can live without the other .,Both have shared this country for the last 14 centuries and there is no possible way that one can live without the other .
16408,harms,harm,VERB,,Sing,3,Pres,,,1,"['harm', '##s']","[7386, 2015]",38,39,Third-Person Present Tense Verb,"po ##sa ##da should have told any in ##qui ##sit ##ive journalist at his doorstep something like mei ##ring told the single american reporter who bothered following his bloody trail from the philippines , that "" if this harm ##s me in any way , you will find my power then , and you ' ll find out who i am . ""","Posada should have told any inquisitive journalist at his doorstep something like Meiring told the single American reporter who bothered following his bloody trail from the Philippines , that "" If this harms me in any way , you will find my power then , and you 'll find out who I am . """
16958,threatens,threaten,VERB,,Sing,3,Pres,,,1,['threatens'],[17016],2,2,Third-Person Present Tense Verb,"his case threatens the consensus fiction of the "" war on terror . ""","His case threatens the consensus fiction of the "" War on Terror . """
17000,for,for,ADP,,,,,,,0,['for'],[2005],8,8,Causal-Final Case,"terre ##ll , a cia asset originally recruited for the contra effort , identifies the man attempting to recruit him into the philippine scheme as oliver north . . .","Terrell , a CIA asset originally recruited for the Contra effort , identifies the man attempting to recruit him into the Philippine scheme as Oliver North ..."
17135,includes,include,VERB,,Sing,3,Pres,,,1,['includes'],[2950],3,3,Third-Person Present Tense Verb,peter dale scott includes an account of how terre ##ll ' s whistle ##bl ##owing was stifled by them in his book cocaine politics .,Peter Dale Scott includes an account of how Terrell 's whistleblowing was stifled by them in his book Cocaine Politics .
17240,records,record,NOUN,,Plur,,,,,1,['records'],[2636],29,29,Plural Noun,"third ranking cia officer , briggs signed a declaration on february 3rd , 1983 , that on november 8th , 1982 , he had authorized a search of cia records "" for any material that in any way per ##tain ##s to edwin p . wilson , or the various allegations concerning his activities after february 28th , 1971 , when he retired from the cia . ""","Third ranking CIA officer , Briggs signed a declaration on February 3rd , 1983 , that on November 8th , 1982 , he had authorized a search of CIA records "" for any material that in any way pertains to Edwin P. Wilson , or the various allegations concerning his activities after February 28th , 1971 , when he retired from the CIA . """
17955,states,state,VERB,,Sing,3,Pres,,,1,['states'],[2163],3,3,Third-Person Present Tense Verb,"the briggs declaration states that with one exception in 1972 , wilson did not work "" directly or indirectly "" for the cia since retiring .","The Briggs Declaration states that with one exception in 1972 , Wilson did not work "" directly or indirectly "" for the CIA since retiring ."
18085,comes,come,VERB,,Sing,3,Pres,,,1,['comes'],[3310],18,18,Third-Person Present Tense Verb,"judge hughes wrote : ` government knowing ##ly used false evidence against him , ' concluding ` honesty comes hard to government . '","Judge Hughes wrote : ` government knowingly used false evidence against him , ' concluding ` honesty comes hard to government . '"
