,Word,Lemma,POS,Case,Number,Person,Tense,Mood,Voice,Form-Lemma Difference,Subtokens,Subtoken IDs,Subtoken Start Index,Subtoken End Index,Target Class,BERT Subtokenized Sentence,Sentence
523,months,month,NOUN,,Plur,,,,,1,['months'],[2706],2,2,Plural Noun,"four whole months , after which he took advantage of a little - known , little - invoked regulation that allowed him to desert his "" band of brothers "" .","Four whole months , after which he took advantage of a little - known , little - invoked regulation that allowed him to desert his "" band of brothers "" ."
554,viewers,viewer,NOUN,,Plur,,,,,1,['viewers'],[7193],36,36,Plural Noun,"one remark made by sha ' lan on al - arab ##iya tv , that he could n ' t say more about cha ##lab ##i because he would em ##bar ##ras ##s himself and the viewers almost made me roll on the floor .","One remark made by Sha'lan on Al - Arabiya TV , that he could n't say more about Chalabi because he would embarrass himself and the viewers almost made me roll on the floor ."
589,abuses,abuse,NOUN,,Plur,,,,,1,['abuses'],[21078],19,19,Plural Noun,"after asking me which tribe i belong to ( thus assessing my sect ##arian background ) he started hurling abuses at the shia , calling them persians , maj ##oo ##s ( fire worship ##pers ) , ra ##bid dogs and a handful of other descriptions that i ca n ' t mention here .","After asking me which tribe I belong to ( thus assessing my sectarian background ) he started hurling abuses at the Shia , calling them Persians , Majoos ( fire worshippers ) , rabid dogs and a handful of other descriptions that I ca n't mention here ."
637,assumes,assume,VERB,,Sing,3,Pres,,,1,['assumes'],[15980],3,3,Third-Person Present Tense Verb,"any government that assumes power after the elections also realises this , so not even sis ##tani is going to call the us to withdraw its troops , despite what he is saying now , not until they are ensured the insurgency is out of the picture , or that they have an alternative foreign power ( in this case iran ) to back them up .","Any government that assumes power after the elections also realises this , so not even Sistani is going to call the US to withdraw its troops , despite what he is saying now , not until they are ensured the insurgency is out of the picture , or that they have an alternative foreign power ( in this case Iran ) to back them up ."
703,for,for,ADP,,,,,,,0,['for'],[2005],7,7,Causal-Final Case,i thought the us government was looking for me .,I thought the US government was looking for me .
713,harms,harm,VERB,,Sing,3,Pres,,,1,"['harm', '##s']","[7386, 2015]",38,39,Third-Person Present Tense Verb,"po ##sa ##da should have told any in ##qui ##sit ##ive journalist at his doorstep something like mei ##ring told the single american reporter who bothered following his bloody trail from the philippines , that "" if this harm ##s me in any way , you will find my power then , and you ' ll find out who i am . ""","Posada should have told any inquisitive journalist at his doorstep something like Meiring told the single American reporter who bothered following his bloody trail from the Philippines , that "" If this harms me in any way , you will find my power then , and you 'll find out who I am . """
768,for,for,ADP,,,,,,,0,['for'],[2005],8,8,Causal-Final Case,"terre ##ll , a cia asset originally recruited for the contra effort , identifies the man attempting to recruit him into the philippine scheme as oliver north . . .","Terrell , a CIA asset originally recruited for the Contra effort , identifies the man attempting to recruit him into the Philippine scheme as Oliver North ..."
795,papers,paper,NOUN,,Plur,,,,,1,['papers'],[4981],3,3,Plural Noun,"the newly released papers , showing him com ##pl ##ici ##t in the airline ##r bombing , were mentioned","The newly released papers , showing him complicit in the airliner bombing , were mentioned"
825,skills,skill,NOUN,,Plur,,,,,1,['skills'],[4813],7,7,Plural Noun,"as most of them have few technical skills , and the and ##aman ##s have little demand for them in any case , they turn to smuggling and other unlawful activities .","As most of them have few technical skills , and the Andamans have little demand for them in any case , they turn to smuggling and other unlawful activities ."
855,remembers,remember,VERB,,Sing,3,Pres,,,1,['remembers'],[17749],12,12,Third-Person Present Tense Verb,"ask her about the handsome young man from texas , and she remembers him 32 years later like it was yesterday .","Ask her about the handsome young man from Texas , and she remembers him 32 years later like it was yesterday ."
877,'s,'s,PART,,,,,,,0,"[""'"", 's']","[1005, 1055]",3,4,Genitive Case,b ##lou ##nt ' s support of the party led him to be appointed richard nixon ' s postmaster general .,Blount 's support of the party led him to be appointed Richard Nixon 's postmaster general .
911,girls,girl,NOUN,,Plur,,,,,1,['girls'],[3057],7,7,Plural Noun,it is the marrying off of young girls to older men often close relatives that en ##fur ##ates me .,It is the marrying off of young girls to older men often close relatives that enfurates me .
929,reassigns,reassign,VERB,,Sing,3,Pres,,,1,"['re', '##ass', '##ign', '##s']","[2128, 12054, 23773, 2015]",7,10,Third-Person Present Tense Verb,in the warren jeff ##s cult he re ##ass ##ign ##s wives if the husband di ##sp ##lea ##ses him or to reward the new husband .,In the Warren Jeffs cult he reassigns wives if the husband displeases him or to reward the new husband .
949,begs,beg,VERB,,Sing,3,Pres,,,1,['begs'],[27591],2,2,Third-Person Present Tense Verb,the doctor begs them to stop inter ##mar ##ry ##ing but they say they have to keep the blood pure .,The doctor begs them to stop intermarrying but they say they have to keep the blood pure .
985,kids,kid,NOUN,,Plur,,,,,1,['kids'],[4268],8,8,Plural Noun,"' ' every morning and night , the kids , beginning as young as 1 and 2 , had to stand before a poster of mass ##oud and mary ##am , salute them and shout praises to them , ' ' nad ##ere ##h af ##sha ##ri , a former mu ##jah ##ede ##en deep - believer , told me .","'' Every morning and night , the kids , beginning as young as 1 and 2 , had to stand before a poster of Massoud and Maryam , salute them and shout praises to them , '' Nadereh Afshari , a former Mujahedeen deep - believer , told me ."
1035,phonies,phony,NOUN,,Plur,,,,,2,"['ph', '##oni', '##es']","[6887, 10698, 2229]",15,17,Plural Noun,"( i know , ignorant question ) then why call them , or any other ph ##oni ##es ' christians ' , even if they themselves claim the app ##ella ##tion .","( I know , ignorant question ) Then why call them , or any other phonies ' Christians ' , even if they themselves claim the appellation ."
1063,for,for,ADP,,,,,,,0,['for'],[2005],7,7,Causal-Final Case,"see them as they are , not for what they claim to be .","See them as they are , not for what they claim to be ."
1077,processes,process,NOUN,,Plur,,,,,2,['processes'],[6194],6,6,Plural Noun,"i like to imagine the thought processes going on in w ' s head if he were to actually read the letter , but it is hard to picture him actually reading this letter .","I like to imagine the thought processes going on in W 's head if he were to actually read the letter , but it is hard to picture him actually reading this letter ."
1111,works,work,NOUN,,Plur,,,,,1,['works'],[2573],9,9,Plural Noun,"i seem to remember something about ' by their works shall ye know them . ""","I seem to remember something about ' by their works shall ye know them . """
1127,things,thing,NOUN,,Plur,,,,,1,['things'],[2477],15,15,Plural Noun,"w ##hi ##e i do n ' t sub ##scribe to the notion that the things we watch or listen to have no effect on our behavior ( which i think is patent ##ly red ##ic ##ulous ) , it does bother me when people single out a specific group of people to pin the blame on .","Whie I do n't subscribe to the notion that the things we watch or listen to have no effect on our behavior ( which I think is patently rediculous ) , it does bother me when people single out a specific group of people to pin the blame on ."
1177,delights,delight,NOUN,,Plur,,,,,1,"['delight', '##s']","[12208, 2015]",4,5,Plural Noun,"they promise them the delight ##s , mostly sexual , of the next world , and pay their families handsome ##ly after the supreme act is performed and enough innocent people are dead .","They promise them the delights , mostly sexual , of the next world , and pay their families handsomely after the supreme act is performed and enough innocent people are dead ."
1209,leaders,leader,NOUN,,Plur,,,,,1,['leaders'],[4177],3,3,Plural Noun,"when these same leaders make other statements , the western media report them as if they could be true .","When these same leaders make other statements , the Western media report them as if they could be true ."
1229,people,people,NOUN,,Plur,,,,,0,['people'],[2111],8,8,Plural Noun,"it is a daily occurrence that the same people who finance , arm and dispatch suicide murderers , condemn the act in english in front of western tv cameras , talking to a world audience , which even partly believes them .","It is a daily occurrence that the same people who finance , arm and dispatch suicide murderers , condemn the act in English in front of western TV cameras , talking to a world audience , which even partly believes them ."
1271,is,be,VERB,,Sing,3,Pres,Ind,,0,['is'],[2003],1,1,Third-Person Present Tense Verb,"there is a new game in town : the actual murderer is called "" the military wing "" , the one who pays him , e ##qui ##ps him and sends him is now called "" the political wing "" and the head of the operation is called the "" spiritual leader "" .","There is a new game in town : The actual murderer is called "" the military wing "" , the one who pays him , equips him and sends him is now called "" the political wing "" and the head of the operation is called the "" spiritual leader "" ."
1375,for,for,ADP,,,,,,,0,['for'],[2005],2,2,Causal-Final Case,"suppose , for the sake of discussion , that someone would openly stay in a well - known address in te ##her ##an , hosted by the iranian government and financed by it , executing one at ##rocity after another in spain or in france , killing hundreds of innocent people , accepting responsibility for the crimes , promising in public tv interviews to do more of the same , while the government of iran issues public condemnation ##s of his acts but continues to host him , invite him to official functions and treat him as a great dig ##ni ##tary .","Suppose , for the sake of discussion , that someone would openly stay in a well - known address in Teheran , hosted by the Iranian Government and financed by it , executing one atrocity after another in Spain or in France , killing hundreds of innocent people , accepting responsibility for the crimes , promising in public TV interviews to do more of the same , while the Government of Iran issues public condemnations of his acts but continues to host him , invite him to official functions and treat him as a great dignitary ."
1666,murderers,murderer,NOUN,,Plur,,,,,1,['murderers'],[28882],12,12,Plural Noun,"international law does not know how to deal with a leader of murderers who is royal ##ly and comfortably hosted by a country , which pretend ##s to condemn his acts or just claims to be too weak to arrest him .","International law does not know how to deal with a leader of murderers who is royally and comfortably hosted by a country , which pretends to condemn his acts or just claims to be too weak to arrest him ."
1706,crooks,crook,NOUN,,Plur,,,,,1,"['crook', '##s']","[19302, 2015]",8,9,Plural Noun,"the amazing thing is that all of these crook ##s demand protection under international law , and define all those who attack them as "" war criminals , "" with some western media repeating the allegations .","The amazing thing is that all of these crooks demand protection under international law , and define all those who attack them as "" war criminals , "" with some Western media repeating the allegations ."
1742,for,for,ADP,,,,,,,0,['for'],[2005],3,3,Causal-Final Case,"allow me , for a moment , to depart from my alleged role as a taxi driver and return to science .","Allow me , for a moment , to depart from my alleged role as a taxi driver and return to science ."
1786,authorities,authority,NOUN,,Plur,,,,,2,['authorities'],[4614],4,4,Plural Noun,"wherever he is , authorities need to focus on the trace ##able connection between him and those he or ate ##f recruited .","Wherever he is , authorities need to focus on the traceable connection between him and those he or Atef recruited ."
1807,'s,'s,PART,,,,,,,0,"[""'"", 's']","[1005, 1055]",2,3,Genitive Case,the family ' s lawyer advises me that aa ##fia did not have enough money to pay for air ##fare tickets for herself and the kids and called is ##mat from the train station .,The family 's lawyer advises me that Aafia did not have enough money to pay for airfare tickets for herself and the kids and called Ismat from the train station .
1838,'s,'s,PART,,,,,,,0,"[""'"", 's']","[1005, 1055]",2,3,Genitive Case,the family ' s attorney advises me that aa ##fia had no knowledge of chemicals ( and that would not appear to be her training ) .,The family 's attorney advises me that Aafia had no knowledge of chemicals ( and that would not appear to be her training ) .
1863,media,medium,NOUN,,Plur,,,,,-1,['media'],[2865],1,1,Plural Noun,"the media coverage has been seriously confused on the issue of motive and the reason senators das ##ch ##le and leah ##y would have been targeted - - tending to sim ##pl ##istic ##ally view them as "" liberals . ""","The media coverage has been seriously confused on the issue of motive and the reason Senators Daschle and Leahy would have been targeted -- tending to simplistically view them as "" liberals . """
1897,sons,son,NOUN,,Plur,,,,,1,['sons'],[4124],5,5,Plural Noun,he reportedly treated them like sons .,He reportedly treated them like sons .
1904,officials,official,NOUN,,Plur,,,,,1,['officials'],[4584],1,1,Plural Noun,senior officials have been quoted in the press as saying that the searches were for the purpose of excluding him as much as including him .,Senior officials have been quoted in the press as saying that the searches were for the purpose of excluding him as much as including him .
1956,thoughts,thought,NOUN,,Plur,,,,,1,['thoughts'],[4301],4,4,Plural Noun,let me know your thoughts . . . . then i will run it by ox ##ley .,Let me know your thoughts .... then I will run it by Oxley .
1970,parameters,parameter,NOUN,,Plur,,,,,1,['parameters'],[11709],5,5,Plural Noun,the conference will review the parameters of these challenges and possible solutions to them .,The conference will review the parameters of these challenges and possible solutions to them .
1985,questions,question,NOUN,,Plur,,,,,1,['questions'],[3980],7,7,Plural Noun,let me know if you have any questions .,Let me know if you have any questions .
1994,tests,test,NOUN,,Plur,,,,,1,['tests'],[5852],24,24,Plural Noun,i told paul that you called him yesterday so abruptly because you did n ' t want to waste his time while you got tests done for arthritis .,I told Paul that you called him yesterday so abruptly because you did n't want to waste his time while you got tests done for arthritis .
2021,has,have,VERB,,Sing,3,Pres,Ind,,-1,['has'],[2038],16,16,Third-Person Present Tense Verb,i told him i told you to call him back and at least hear what he has to say .,I told him I told you to call him back and at least hear what he has to say .
2041,for,for,ADP,,,,,,,0,['for'],[2005],16,16,Causal-Final Case,give me a call tuesday afternoon to discuss ( gone to ke ##low ##na golf ##ing for the weekend ) .,Give me a call Tuesday afternoon to discuss ( gone to Kelowna golfing for the weekend ) .
2059,for,for,ADP,,,,,,,0,['for'],[2005],8,8,Causal-Final Case,they are hoping corp will foot the bill for a pilot which will allow them to fully test this tool before implementing it company - wide .,They are hoping Corp will foot the bill for a pilot which will allow them to fully test this tool before implementing it company - wide .
2086,wants,want,VERB,,Sing,3,Pres,,,1,['wants'],[4122],11,11,Third-Person Present Tense Verb,i will probably be calling you next week - the desk wants me to become more involved in regulatory updates so i will seek your assistance with this matter .,I will probably be calling you next week - the desk wants me to become more involved in regulatory updates so I will seek your assistance with this matter .
2176,for,for,ADP,,,,,,,0,['for'],[2005],5,5,Causal-Final Case,that would be particularly convenient for me .,That would be particularly convenient for me .
2184,people,people,NOUN,,Plur,,,,,0,['people'],[2111],4,4,Plural Noun,i shall invite some people who work on electricity in my group to join me .,I shall invite some people who work on electricity in my group to join me .
2200,for,for,ADP,,,,,,,0,['for'],[2005],9,9,Causal-Final Case,"please , let me know what time would work for you .","Please , let me know what time would work for you ."
2212,yourselves,yourself,NOUN,,Plur,,,,,2,['yourselves'],[25035],16,16,Plural Noun,please let me know . . . we are eager to keep trading with global and yourselves . . .,Please let me know ... we are eager to keep trading with Global and yourselves ...
2228,changes,change,NOUN,,Plur,,,,,1,['changes'],[3431],10,10,Plural Noun,please let me know your approval before we make any changes .,Please let me know your approval before we make any changes .
2240,hours,hour,NOUN,,Plur,,,,,1,['hours'],[2847],18,18,Plural Noun,"they will be there by noon on the 20th , and the surgery will last 1 . 5 hours and then they ' ll watch him for 2 more hours before they put him into ic ##u .","They will be there by noon on the 20th , and the surgery will last 1.5 hours and then they 'll watch him for 2 more hours before they put him into ICU ."
2308,'s,'s,PART,,,,,,,0,"[""'"", 's']","[1005, 1055]",7,8,Genitive Case,"as i watched my mother and father ' s health deter ##ior ##ate and ultimately watched them die , it is a very defining time in our lives .","As I watched my mother and father 's health deteriorate and ultimately watched them die , it is a very defining time in our lives ."
2334,for,for,ADP,,,,,,,0,['for'],[2005],16,16,Causal-Final Case,let me know if you have any interest in the tc ##o - pool leach swap for the winter .,let me know if you have any interest in the Tco - Pool Leach swap for the winter .
2353,grades,grade,NOUN,,Plur,,,,,1,['grades'],[7022],5,5,Plural Noun,my kid is making wonderful grades and has reassured me she will graduate within the four year period .,My kid is making wonderful grades and has reassured me she will graduate within the four year period .
2372,for,for,SCONJ,,,,,,,0,['for'],[2005],4,4,Causal-Final Case,it is less complicated for me to initial and fa ##x than to track down someone who does n ' t know anything about it and get them to initial it .,It is less complicated for me to initial and fax than to track down someone who does n't know anything about it and get them to initial it .
2401,negotiations,negotiation,NOUN,,Plur,,,,,1,['negotiations'],[7776],13,13,Plural Noun,can you please give me an update on where you are in the negotiations of the is ##da with the following counterpart ##ies and confirm which en ##ron entity you are negotiating on behalf of .,can you please give me an update on where you are in the negotiations of the ISDA with the following counterparties and confirm which Enron entity you are negotiating on behalf of .
2434,for,for,ADP,,,,,,,0,['for'],[2005],1,1,Causal-Final Case,"as for ted , things are still going well although i have n ' t see him at all this week ( we are two very busy people ) .","As for Ted , things are still going well although I have n't see him at all this week ( we are two very busy people ) ."
2462,occasions,occasion,NOUN,,Plur,,,,,1,['occasions'],[6642],11,11,Plural Noun,"as a result of that , she has managed on several occasions over the years to det ##rac ##t from my enjoyment of playing trivial pursuit or watching jeopardy by absolutely ob ##lite ##rating me ( the girl actually did her senior thesis on tri ##via ) .","As a result of that , she has managed on several occasions over the years to detract from my enjoyment of playing Trivial Pursuit or watching Jeopardy by absolutely obliterating me ( The girl actually did her senior thesis on Trivia ) ."
2505,things,thing,NOUN,,Plur,,,,,1,['things'],[2477],14,14,Plural Noun,i ' ll keep discussion of me to a minimum and just say that things are well on 32 .,I 'll keep discussion of me to a minimum and just say that things are well on 32 .
2524,'s,be,AUX,,Sing,3,Pres,Ind,,0,"[""'"", 's']","[1005, 1055]",1,2,Genitive Case,how ' s life on 32 today - - well that ' s enough about you let ' s talk more about me .,How 's life on 32 today -- well that 's enough about you let 's talk more about me .
2544,questions,question,NOUN,,Plur,,,,,1,['questions'],[3980],4,4,Plural Noun,if you have any questions please do not hesitate to give me a call .,If you have any questions please do not hesitate to give me a call .
2559,questions,question,NOUN,,Plur,,,,,1,['questions'],[3980],8,8,Plural Noun,please let me know if you have any questions or need anything else .,Please let me know if you have any questions or need anything else .
2573,likes,like,VERB,,Sing,3,Pres,,,1,['likes'],[7777],26,26,Third-Person Present Tense Verb,perhaps jim arm ##og ##ida can assist in rev ##ising them as i am sure he is more familiar with the way en ##ron corp . likes their resolutions drafted than we are .,Perhaps Jim Armogida can assist in revising them as I am sure he is more familiar with the way Enron Corp. likes their resolutions drafted than we are .
2602,questions,question,NOUN,,Plur,,,,,1,['questions'],[3980],7,7,Plural Noun,let me know if you have any questions or need anything else .,Let me know if you have any questions or need anything else .
2615,questions,question,NOUN,,Plur,,,,,1,['questions'],[3980],4,4,Plural Noun,"should you have any questions , feel free to call me .","Should you have any questions , feel free to call me ."
2640,numbers,number,NOUN,,Plur,,,,,1,['numbers'],[3616],18,18,Plural Noun,if this is the case i would like someone to walk me through june to see if the numbers did really work themselves out as there was a large swing in second order on june 29 that was not adjusted for .,If this is the case I would like someone to walk me through June to see if the numbers did really work themselves out as there was a large swing in second order on June 29 that was not adjusted for .
2724,terms,term,NOUN,,Plur,,,,,1,['terms'],[3408],19,19,Plural Noun,"also , would those of you who have not responded to me via email confirming your acceptance of the terms upon which our four companies have agreed to assume cost responsibility for the tc ##a work on this .","Also , would those of you who have not responded to me via email confirming your acceptance of the terms upon which our four companies have agreed to assume cost responsibility for the TCA work on this ."
2762,questions,question,NOUN,,Plur,,,,,1,['questions'],[3980],5,5,Plural Noun,please contact me with any questions .,Please contact me with any questions .
2769,issues,issue,NOUN,,Plur,,,,,1,['issues'],[3314],12,12,Plural Noun,"we are following up with sue and robbie on a couple legal issues , case law and ms ##a self - certification language , and let me know if you have additional items .","We are following up with Sue and Robbie on a couple legal issues , case law and MSA self - certification language , and let me know if you have additional items ."
2802,works,work,VERB,,Sing,3,Pres,,,1,['works'],[2573],5,5,Third-Person Present Tense Verb,let me know what schedule works for you .,Let me know what schedule works for you .
2811,copies,copy,NOUN,,Plur,,,,,2,['copies'],[4809],2,2,Plural Noun,additional printed copies should be available within the next day or so and i will make them available to all of you - just let me know how many copies you need .,Additional printed copies should be available within the next day or so and I will make them available to all of you - just let me know how many copies you need .
2844,thanks,thank,NOUN,,Plur,,,,,1,['thanks'],[4283],10,10,Plural Noun,"if you could respond to me on this request , thanks","If you could respond to me on this request , thanks"
2855,changes,change,NOUN,,Plur,,,,,1,['changes'],[3431],8,8,Plural Noun,please let me know if there are any changes to this list .,Please let me know if there are any changes to this list .
2868,appears,appear,VERB,,Sing,3,Pres,,,1,['appears'],[3544],1,1,Third-Person Present Tense Verb,"it appears you missed some cp ##ys on the referenced list because tom had the freeze panel button on , and you probably did n ' t see them at first .","It appears you missed some cpys on the referenced list because Tom had the freeze panel button on , and you probably did n't see them at first ."
2897,questions,question,NOUN,,Plur,,,,,1,['questions'],[3980],4,4,Plural Noun,if you have any questions please call me on x ##34 ##70 ##3,If you have any questions please call me on x34703
2907,for,for,ADP,,,,,,,0,['for'],[2005],15,15,Causal-Final Case,"if you think of anything else i can do to strengthen my overall application file for next year , please let me know .","If you think of anything else I can do to strengthen my overall application file for next year , please let me know ."
2931,for,for,ADP,,,,,,,0,['for'],[2005],6,6,Causal-Final Case,i would like to thank you for taking the time to recommend me to the mba program .,I would like to thank you for taking the time to recommend me to the MBA Program .
2949,for,for,ADP,,,,,,,0,['for'],[2005],18,18,Causal-Final Case,"also , if you can think of anything else i can do to strengthen my overall application file for next year , please let me know .","Also , if you can think of anything else I can do to strengthen my overall application file for next year , please let me know ."
2994,for,for,ADP,,,,,,,0,['for'],[2005],17,17,Causal-Final Case,"also , if you think of anything else i can do to strengthen my overall application file for next year , please let me know .","Also , if you think of anything else I can do to strengthen my overall application file for next year , please let me know ."
3029,owes,owe,VERB,,Sing,3,Pres,,,1,['owes'],[24381],7,7,Third-Person Present Tense Verb,"we will fight with them about who owes the $ 200 k that james mentions below based on their failure to "" assist "" us in managing the cost .","We will fight with them about who owes the $ 200 k that James mentions below based on their failure to "" assist "" us in managing the cost ."
3059,sounds,sound,VERB,,Sing,3,Pres,,,1,['sounds'],[4165],1,1,Third-Person Present Tense Verb,"that sounds like a bs excuse from ec ##s , but it that ' s what they are saying , let me know and we can figure out a solution .","That sounds like a BS excuse from ECS , but it that 's what they are saying , let me know and we can figure out a solution ."
3088,objections,objection,NOUN,,Plur,,,,,1,['objections'],[17304],4,4,Plural Noun,if there are any objections you need to get back to me asa ##p .,If there are any objections you need to get back to me ASAP .
3102,comments,comment,NOUN,,Plur,,,,,1,['comments'],[7928],11,11,Plural Noun,please review it and let me know if you have any comments on or before tuesday afternoon ( i will be out of the office monday ) .,Please review it and let me know if you have any comments on or before Tuesday afternoon ( I will be out of the office Monday ) .
3130,'s,'s,PART,,,,,,,0,"[""'"", 's']","[1005, 1055]",23,24,Genitive Case,"dar ##i and i vent ##ed our ag ##gra ##vation by drafting the attached letter to gibson and kyle complaining of somme ##r ' s du ##plicity , but after temper ##s cooled , mk ##m and i decided not to send it to stan or urge him to send a written response .","Dari and I vented our aggravation by drafting the attached letter to Gibson and Kyle complaining of Sommer 's duplicity , but after tempers cooled , MKM and I decided not to send it to Stan or urge him to send a written response ."
3175,invoices,invoice,NOUN,,Plur,,,,,1,"['in', '##vo', '##ices']","[1999, 6767, 23522]",7,9,Plural Noun,do you want me to send the in ##vo ##ices to you ?,Do you want me to send the invoices to you ?
3186,'s,us,PRON,,,,,,,0,"[""'"", 's']","[1005, 1055]",1,2,Genitive Case,let ' s get them to support constructive solutions that will make a real difference .,Let 's get them to support constructive solutions that will make a real difference .
3201,executives,executive,NOUN,,Plur,,,,,1,['executives'],[12706],12,12,Plural Noun,"please , let me know if you interested in introducing peter to executives in your organization .","Please , let me know if you interested in introducing Peter to executives in your organization ."
3218,names,name,NOUN,,Plur,,,,,1,['names'],[3415],11,11,Plural Noun,"also , please let me know , by email , the names and contact information of other managers within en ##ron who might benefit from having someone with my qualifications in their group .","Also , please let me know , by email , the names and contact information of other managers within Enron who might benefit from having someone with my qualifications in their group ."
3251,for,for,ADP,,,,,,,0,['for'],[2005],8,8,Causal-Final Case,please let me know what time would work for you .,Please let me know what time would work for you .
3262,games,game,NOUN,,Plur,,,,,1,['games'],[2399],12,12,Plural Noun,please let me know if you are interested in any of these games .,Please let me know if you are interested in any of these games .
3276,steps,step,NOUN,,Plur,,,,,1,['steps'],[4084],8,8,Plural Noun,let me know if this is the appropriate steps that you would like to see .,Let me know if this is the appropriate steps that you would like to see .
3308,for,for,ADP,,,,,,,0,['for'],[2005],3,3,Causal-Final Case,can you cover for me today ?,Can you cover for me today ?
3315,employees,employee,NOUN,,Plur,,,,,1,['employees'],[5126],12,12,Plural Noun,please let me know how your organization can help the en ##ron employees feel safer about the safeguard of their ss number .,Please let me know how your organization can help the Enron employees feel safer about the safeguard of their SS number .
